日時,9348.T,5595.T,402A.T,186A.T,Astra4_mean
2025-10-10 00:05:00+00:00,-0.00927643784786647,-0.018407960199004925,0.018796992481203034,-0.04281009879253572,-0.01292437608955102
2025-10-10 00:10:00+00:00,-0.007421150278293154,-0.014925373134328401,0.01754385964912286,-0.028540065861690445,-0.008335682406297285
2025-10-10 00:15:00+00:00,-0.007421150278293154,-0.00995024875621886,0.01629072681704269,-0.01975850713501648,-0.005209794838121451
2025-10-10 00:20:00+00:00,-0.0018552875695733162,0.0004975124378110429,0.023809523809523725,-0.014270032930845278,0.0020454289367290435
2025-10-10 00:25:00+00:00,-0.005565862708719838,0.0014925373134329067,0.022556390977443552,-0.016465422612513714,0.0005044107424107269
2025-10-10 00:30:00+00:00,-0.007421150278293154,0.0014925373134329067,0.01754385964912286,-0.01207464324917673,-0.00011484914122852907
2025-10-10 00:35:00+00:00,-0.00927643784786647,-0.004477611940298498,0.02130325814536338,-0.029637760702524663,-0.005522138086331563
2025-10-10 00:40:00+00:00,-0.00927643784786647,-0.005472636815920362,0.018796992481203034,-0.034028540065861645,-0.007495155562111361
2025-10-10 00:45:00+00:00,-0.011131725417439675,-0.012935323383084563,0.011278195488721776,-0.03732162458836441,-0.012527619475041718
2025-10-10 00:50:00+00:00,-0.011131725417439675,-0.015422885572139333,0.011278195488721776,-0.03622392974753019,-0.012875086312096856
2025-10-10 00:55:00+00:00,-0.00927643784786647,-0.018905472636815968,0.011278195488721776,-0.03841931942919863,-0.013830758606289822
2025-10-10 01:00:00+00:00,-0.00927643784786647,-0.018407960199004925,0.00877192982456143,-0.03293084522502743,-0.012960828361834348
2025-10-10 01:05:00+00:00,-0.00927643784786647,-0.01990049751243783,0.0012531328320801727,-0.03732162458836441,-0.016311356779147135
2025-10-10 01:10:00+00:00,-0.005565862708719838,-0.01691542288557213,-0.003759398496240629,-0.03732162458836441,-0.01589057716972425
2025-10-10 01:15:00+00:00,-0.0037105751391465214,-0.011442786069651767,0.003759398496240518,-0.03183315038419321,-0.010806778274187745
2025-10-10 01:20:00+00:00,-0.007421150278293154,-0.01243781094527363,0.0,-0.03622392974753019,-0.014020722742774244
2025-10-10 01:25:00+00:00,-0.005565862708719838,-0.014925373134328401,0.005012531328320913,-0.03732162458836441,-0.013200082275772934
2025-10-10 01:30:00+00:00,-0.005565862708719838,-0.016417910447761197,0.003759398496240518,-0.04281009879253572,-0.01525861836319406
2025-10-10 01:35:00+00:00,-0.005565862708719838,-0.018407960199004925,-0.003759398496240629,-0.029637760702524663,-0.014342745526622513
2025-10-10 01:40:00+00:00,-0.0018552875695733162,-0.014925373134328401,-0.0012531328320801727,-0.02634467618002201,-0.011094617429000975
2025-10-10 01:45:00+00:00,0.0037105751391466324,-0.013930348258706426,-0.0012531328320801727,-0.023051591657519244,-0.008631124402289803
2025-10-10 01:50:00+00:00,0.0018552875695732052,-0.015422885572139333,-0.0025062656641604564,-0.03183315038419321,-0.011976753512729948
2025-10-10 01:55:00+00:00,0.0018552875695732052,-0.013432835820895495,-0.0012531328320801727,-0.027442371020856227,-0.010068263026064672
2025-10-10 02:00:00+00:00,0.0,-0.014925373134328401,0.0012531328320801727,-0.03293084522502743,-0.011650771381818914
2025-10-10 02:05:00+00:00,-0.0037105751391465214,-0.017910447761193993,-0.0012531328320801727,-0.04171240395170139,-0.01614663992103052
2025-10-10 02:10:00+00:00,-0.0037105751391465214,-0.01691542288557213,0.0012531328320801727,-0.03622392974753019,-0.013899198735042168
2025-10-10 02:15:00+00:00,-0.0037105751391465214,-0.016417910447761197,0.0012531328320801727,-0.03622392974753019,-0.013774820625589435
2025-10-10 02:20:00+00:00,-0.0037105751391465214,-0.01691542288557213,0.003759398496240518,-0.03622392974753019,-0.013272632319002081
2025-10-10 02:25:00+00:00,-0.0037105751391465214,-0.015920398009950265,0.0025062656641603454,-0.03951701427003296,-0.01416043043874235
2025-10-10 02:30:00+00:00,-0.0037105751391465214,-0.015422885572139333,0.0012531328320801727,-0.03732162458836441,-0.013800488116892523
2025-10-10 03:30:00+00:00,-0.0018552875695733162,-0.0194029850746269,-0.015037593984962405,-0.04390779363336994,-0.02005091506563314
2025-10-10 03:35:00+00:00,-0.0018552875695733162,-0.018407960199004925,-0.015037593984962405,-0.040614709110867175,-0.018978887716101955
2025-10-10 03:40:00+00:00,-0.0037105751391465214,-0.0194029850746269,-0.015037593984962405,-0.04281009879253572,-0.020240313247817887
2025-10-10 03:45:00+00:00,0.0,-0.022885572139303534,-0.013784461152882233,-0.03841931942919863,-0.0187723381803461
2025-10-10 03:50:00+00:00,0.0,-0.025373134328358193,-0.013784461152882233,-0.03732162458836441,-0.01911980501740121
2025-10-10 03:55:00+00:00,0.0,-0.01990049751243783,-0.013784461152882233,-0.03073545554335899,-0.016105103552169764
2025-10-10 04:00:00+00:00,0.0,-0.02437810945273633,-0.013784461152882233,-0.03841931942919863,-0.019145472508704298
2025-10-10 04:05:00+00:00,0.0,-0.025870646766169125,-0.013784461152882233,-0.04500548847420416,-0.02116514909831388
2025-10-10 04:10:00+00:00,0.0,-0.025870646766169125,-0.015037593984962405,-0.03732162458836441,-0.019557466334873985
2025-10-10 04:15:00+00:00,0.0,-0.025870646766169125,-0.015037593984962405,-0.040614709110867175,-0.020380737465499676
2025-10-10 04:20:00+00:00,-0.005565862708719838,-0.02487562189054726,-0.018796992481203034,-0.04171240395170139,-0.02273772025804288
2025-10-10 04:25:00+00:00,-0.0037105751391465214,-0.025870646766169125,-0.02130325814536338,-0.04281009879253572,-0.023423644710803687
